starttime	seconds	ctime	dtime	ttime	wait
Sat Feb 03 23:26:52 2024	1706982112	0	53	53	51
Sat Feb 03 23:26:51 2024	1706982111	0	54	54	53
Sat Feb 03 23:26:51 2024	1706982111	0	54	54	53
Sat Feb 03 23:26:52 2024	1706982112	0	54	54	51
Sat Feb 03 23:26:51 2024	1706982111	1	53	54	50
Sat Feb 03 23:26:51 2024	1706982111	0	54	54	53
Sat Feb 03 23:26:52 2024	1706982112	0	54	54	51
Sat Feb 03 23:26:53 2024	1706982113	0	54	54	52
Sat Feb 03 23:26:51 2024	1706982111	0	54	54	52
Sat Feb 03 23:26:52 2024	1706982112	0	54	54	52
Sat Feb 03 23:26:53 2024	1706982113	0	54	54	53
Sat Feb 03 23:26:53 2024	1706982113	0	54	54	52
Sat Feb 03 23:26:51 2024	1706982111	0	54	54	54
Sat Feb 03 23:26:51 2024	1706982111	0	54	54	54
Sat Feb 03 23:26:51 2024	1706982111	0	54	54	54
Sat Feb 03 23:26:53 2024	1706982113	0	54	54	52
Sat Feb 03 23:26:53 2024	1706982113	0	54	54	53
Sat Feb 03 23:26:50 2024	1706982110	0	55	55	54
Sat Feb 03 23:26:51 2024	1706982111	0	55	55	54
Sat Feb 03 23:26:51 2024	1706982111	0	55	55	54
Sat Feb 03 23:26:52 2024	1706982112	0	55	55	53
Sat Feb 03 23:26:52 2024	1706982112	0	55	55	54
Sat Feb 03 23:26:52 2024	1706982112	0	55	55	54
Sat Feb 03 23:26:54 2024	1706982114	0	55	55	44
Sat Feb 03 23:26:52 2024	1706982112	0	55	55	50
Sat Feb 03 23:26:52 2024	1706982112	0	55	55	54
Sat Feb 03 23:26:53 2024	1706982113	0	55	55	54
Sat Feb 03 23:26:54 2024	1706982114	0	55	55	55
Sat Feb 03 23:26:52 2024	1706982112	0	55	55	52
Sat Feb 03 23:26:54 2024	1706982114	0	55	55	52
Sat Feb 03 23:26:52 2024	1706982112	0	55	55	53
Sat Feb 03 23:26:53 2024	1706982113	0	55	56	55
